,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,renovated_yrs_ago,log_price
1999,400000,2,2.0,1520,5010,1.0,0,0,3,7,1520,0,16,1110,5040,83,56,2.0,2.0,62786,16,12.89921982609012
2002,555000,3,1.75,2040,6000,1.0,0,0,5,7,1120,920,57,1530,6250,52,42,1.0,1.0,106319,57,13.226723392728571
2003,579000,3,2.5,1990,4040,1.5,0,0,5,8,1390,600,89,1180,3030,88,50,2.0,2.0,90568,89,13.269057756555133
2005,645000,3,1.75,2340,6750,1.5,0,0,5,7,1620,720,101,1410,3388,56,63,2.0,2.0,87159,101,13.37700559577791
2008,199000,4,2.0,2030,8120,2.0,0,0,3,7,2030,0,65,1520,9440,9,43,2.0,2.0,71524,65,12.201060103706627
2015,560000,3,3.5,2270,4088,2.0,0,0,3,8,1880,390,19,1760,5425,58,48,1.0,1.0,102500,19,13.235692062711331
2016,1505000,4,3.5,3480,7232,2.0,0,0,3,9,2580,900,89,2380,5642,49,59,3.0,3.0,81676,5,14.224303456165115
2017,375000,4,2.0,1720,2410,1.0,0,0,3,7,970,750,85,1160,1404,78,57,4.0,4.0,54622,9,12.834681304952548
2019,545000,2,1.5,1620,3760,2.0,0,0,5,7,1170,450,91,2130,4000,74,56,2.0,2.0,137358,91,13.208541073645382
2021,280000,2,1.0,1260,4800,1.0,0,0,3,6,1100,160,68,1260,2435,76,54,2.0,2.0,47701,68,12.542544882151384
2027,415000,5,1.75,3700,9140,1.0,0,0,3,8,1850,1850,58,2190,6720,42,47,2.0,2.0,71524,58,12.936033799212835
2035,157500,2,1.0,670,4500,1.0,0,0,3,5,670,0,110,1210,4500,62,37,2.0,2.0,35425,110,11.967180737247824
2036,450000,2,3.0,1790,1709,2.0,0,0,3,7,1400,390,14,1460,1462,61,61,2.0,2.0,79953,14,13.017002861746507
2037,925000,4,1.75,2440,11793,1.0,0,4,3,8,1420,1020,65,2500,8028,32,46,1.0,1.0,75714,65,13.737549016494564
2038,600000,2,1.0,920,5029,1.0,0,0,4,7,920,0,77,1230,5029,42,46,1.0,1.0,132917,77,13.304684934198285
2039,709000,4,1.0,1680,4087,1.5,0,0,3,7,1680,0,104,1740,3745,84,52,2.0,2.0,113906,104,13.471610805514267
2042,245000,3,1.0,910,6630,1.0,0,0,4,6,910,0,103,950,5100,83,56,4.0,4.0,87159,103,12.409013489526865
2043,332000,2,1.0,1000,4776,1.0,0,0,4,6,1000,0,73,1500,4800,71,53,3.0,3.0,51316,73,12.712890247898624
2044,425000,3,2.0,1180,1800,2.0,0,2,3,8,1180,0,21,1500,1948,84,63,2.0,2.0,104632,21,12.959844447906553
2048,865000,5,3.0,2900,6730,1.0,0,0,5,8,1830,1070,38,2370,6283,69,47,1.0,1.0,110458,38,13.670484785914017
2052,697000,3,2.25,2420,5304,1.5,0,0,5,7,1640,780,68,1560,5304,61,49,1.0,1.0,110458,68,13.454540689742661
2054,590000,3,2.25,2210,5742,1.0,0,0,3,8,1460,750,64,1900,4590,80,54,2.0,2.0,111661,64,13.287877815881902
2055,515000,2,1.0,1680,6500,1.0,0,0,4,7,1140,540,74,1610,6500,81,50,1.0,1.0,90208,74,13.151922179645874
2056,576000,3,1.0,1140,5395,1.0,0,0,4,7,1010,130,106,1700,5376,67,57,2.0,2.0,101413,106,13.263862939678027
2063,399950,3,2.5,1400,4400,1.0,0,0,3,7,1400,0,85,1060,4400,47,44,2.0,2.0,55504,1,12.899094818276966
2064,534000,5,2.0,2280,3600,2.0,0,0,3,7,2280,0,23,1740,1800,84,73,4.0,4.0,56700,23,13.188151117942333
2066,350000,2,1.0,1350,3880,1.0,0,0,3,6,950,400,88,1670,3920,81,53,2.0,2.0,111661,88,12.765688433465595
2067,856000,3,1.5,1480,2700,1.5,0,0,3,7,1480,0,87,1970,4200,87,65,2.0,2.0,68199,87,13.66002565512388
2068,582000,4,3.0,1670,1189,3.0,0,0,3,8,1427,243,15,1700,1401,87,66,2.0,2.0,104632,15,13.274225726713574
2071,443000,2,1.0,1130,5413,1.0,0,0,3,7,880,250,76,1250,5413,66,59,1.0,1.0,80400,76,13.001325049027274
2074,450000,2,1.0,740,5100,1.0,0,0,4,7,740,0,68,920,5100,64,56,2.0,2.0,101413,68,13.017002861746507
2077,763101,3,1.75,1990,5560,1.0,0,0,4,7,1100,890,76,1460,3706,85,55,1.0,1.0,110091,76,13.545145673721109
2080,499000,2,1.0,1450,3090,2.0,0,0,3,7,1450,0,96,1450,4635,94,51,2.0,2.0,103750,28,13.120361374733655
2081,600000,3,1.75,2040,5000,1.5,0,0,3,7,1780,260,91,1690,5000,70,50,1.0,1.0,64797,91,13.304684934198285
2085,599950,4,1.75,2720,7810,1.0,0,0,3,8,1510,1210,63,2120,7315,66,48,1.0,1.0,110458,63,13.304601597392535
2086,700000,4,1.75,1730,6500,1.0,0,0,3,7,1250,480,70,1910,8100,46,41,1.0,1.0,132981,70,13.458835614025542
2093,406650,2,1.0,1070,6100,1.0,0,0,3,6,1070,0,75,1770,5695,66,52,1.0,1.0,71705,75,12.915708143594921
2094,425000,4,1.75,1820,6000,1.0,0,0,3,7,930,890,73,1590,6000,60,49,2.0,2.0,103917,73,12.959844447906553
2098,435000,4,2.0,2030,4033,2.0,0,0,4,7,1630,400,90,1350,1340,81,59,3.0,3.0,56744,90,12.983101310070822
2101,675000,3,2.5,2550,4954,1.5,0,0,4,7,1850,700,91,1700,4954,81,64,4.0,4.0,81676,91,13.422467969854667
2104,760000,3,3.5,2350,10739,1.0,0,2,5,7,1340,1010,75,2580,11026,35,51,2.0,2.0,44951,75,13.541073712262516
2105,579950,3,3.5,1420,1217,2.0,0,0,3,8,1180,240,12,1494,1264,87,55,3.0,3.0,65172,12,13.270697171910024
2107,205000,2,1.0,720,5040,1.0,0,0,3,6,720,0,60,1357,5120,70,56,4.0,4.0,54622,60,12.230765258120543
2109,765000,4,1.0,2520,5500,1.5,0,0,5,8,1820,700,103,2350,5000,74,70,4.0,4.0,81676,103,13.547631112808672
2111,160000,3,1.0,1200,8360,1.0,0,0,2,6,1200,0,67,1570,6823,85,65,3.0,3.0,52412,67,11.982929094215965
2112,1125000,5,1.75,1910,5640,2.0,0,0,4,9,1910,0,109,2050,5400,90,71,2.0,2.0,68199,109,13.933293593620654
2113,479000,3,1.0,1370,3000,1.5,0,0,3,7,1370,0,91,1510,2151,88,60,2.0,2.0,71809,91,13.079455876393054
2115,350000,4,1.0,1170,8147,1.5,0,0,3,6,1170,0,56,1260,8147,71,54,2.0,2.0,44951,56,12.765688433465595
2116,353000,3,2.5,1250,864,3.0,0,0,3,8,1250,0,11,1330,2298,70,61,1.0,1.0,61391,11,12.774223335915432
2119,700000,3,1.0,1410,7200,2.0,0,0,4,6,1410,0,114,1640,7200,65,69,3.0,3.0,79953,114,13.458835614025542
2120,1010000,4,3.5,3500,4080,2.0,0,2,3,9,2590,910,11,2430,5100,80,49,2.0,2.0,103917,11,13.825460888817444
2124,335000,3,3.0,1430,1249,3.0,0,0,3,8,1430,0,12,1020,1112,75,63,3.0,3.0,87159,12,12.721885810807205
2130,513000,3,1.75,1710,5000,1.0,0,0,4,7,1110,600,71,920,5000,90,56,2.0,2.0,72396,71,13.148031124152904
2133,313000,4,1.75,1630,3000,1.0,0,0,3,7,930,700,37,1630,3000,70,76,3.0,3.0,44571,37,12.65395846952229
2138,329500,3,1.0,1080,5250,1.0,0,0,4,7,1080,0,68,1100,5250,57,50,4.0,4.0,64297,68,12.7053316329247
2140,415000,2,1.0,1470,6000,1.0,0,0,3,6,900,570,71,1670,6000,65,49,1.0,1.0,66563,71,12.936033799212835
2141,464000,3,1.0,1320,3625,2.0,0,0,3,7,1320,0,115,1660,5438,69,56,1.0,1.0,137358,115,13.047639831208393
2143,510000,2,1.0,810,6480,1.0,0,0,5,6,810,0,73,1920,6000,56,37,1.0,1.0,90951,73,13.142166004700508
2144,650000,3,1.5,1630,7475,1.0,0,1,3,7,1160,470,75,2320,7475,51,49,1.0,1.0,110091,75,13.38472764187182
2150,219500,1,1.0,820,1060,1.0,0,0,3,8,760,60,8,1770,1924,62,50,1.0,1.0,48036,8,12.299107511497365
2152,430000,2,1.5,1090,4013,1.5,0,0,3,7,1090,0,115,1390,4013,88,53,3.0,3.0,65625,115,12.971540487669744
2153,685000,2,1.5,1090,4013,1.5,0,0,3,7,1090,0,115,1390,4013,88,53,3.0,3.0,65625,115,13.437174117244362
2156,385000,3,1.75,2160,5863,1.5,0,0,4,7,1260,900,87,1590,3000,65,67,2.0,2.0,66458,87,12.86099861326992
2159,765000,3,2.75,2250,9600,2.5,0,0,4,9,1830,420,106,2060,4980,70,49,2.0,2.0,137358,24,13.547631112808672
2162,425000,4,2.5,1920,9000,2.0,0,0,2,7,1920,0,26,1530,10474,76,55,2.0,2.0,63799,26,12.959844447906553
2165,320000,3,1.0,1780,6840,2.0,0,0,4,6,1780,0,68,1410,7200,65,57,2.0,2.0,56208,68,12.676076274775909
2166,604000,4,1.75,1490,4485,1.0,0,0,3,8,1350,140,55,1380,4846,77,38,1.0,1.0,157292,55,13.311329476916953
2167,570000,3,2.0,1400,1657,2.0,0,0,3,8,1060,340,11,1540,2275,86,59,2.0,2.0,104632,11,13.253391639810731
2171,637000,3,2.0,1980,6000,1.0,0,0,4,7,1380,600,57,1260,6000,54,44,1.0,1.0,132981,57,13.3645249345543
2173,669500,4,2.25,2500,4046,1.5,0,0,4,7,1520,980,75,1410,4046,81,53,2.0,2.0,101397,75,13.414286444113364
2174,441000,4,1.5,1100,3300,1.0,0,0,1,7,1100,0,96,2020,4000,70,60,2.0,2.0,76524,96,12.996800154428986
2175,228800,4,2.5,1470,1612,2.0,0,0,3,7,980,490,12,1460,5027,81,59,4.0,4.0,38846,12,12.34060353848778
2177,1325000,4,3.25,2470,4760,1.5,0,0,5,9,1890,580,109,2470,4760,65,57,2.0,2.0,131429,109,14.09692301740246
2179,449000,4,2.5,1850,5040,1.0,0,0,3,7,1230,620,85,1010,5040,64,47,2.0,2.0,75123,2,13.01477816672439
2180,945000,2,2.5,2540,7089,2.0,0,0,3,9,2540,0,11,1330,7089,63,31,1.0,1.0,82333,11,13.75894020647588
2185,485000,5,2.0,1910,5508,1.0,0,0,3,7,1020,890,47,1030,7440,72,56,3.0,3.0,62726,47,13.09190416991962
2186,202000,2,1.0,670,7844,1.0,0,0,3,6,670,0,73,740,7218,79,55,2.0,2.0,83421,73,12.216022976383341
2190,367000,4,1.0,1820,5500,1.5,0,0,3,6,1820,0,68,1140,5500,79,57,3.0,3.0,47701,68,12.813117127036707
2193,505000,4,3.0,2280,7400,1.0,0,0,3,7,1340,940,37,1540,7500,68,57,2.0,2.0,64549,37,13.132313708257493
2198,430000,2,1.0,990,4920,1.0,0,0,3,6,990,0,84,990,4960,75,56,2.0,2.0,62786,84,12.971540487669744
2199,456500,3,1.0,1290,3880,1.5,0,0,4,7,1290,0,96,1290,4850,69,49,2.0,2.0,101397,96,13.03134397901716
2200,445000,4,2.5,2170,5257,2.0,0,0,3,7,2170,0,26,1430,7528,43,50,2.0,2.0,80400,26,13.005829561148376
2205,800000,3,2.25,1620,4500,2.0,0,0,4,8,1620,0,89,1210,4320,83,65,2.0,2.0,87667,89,13.592367006650065
2209,950000,5,3.25,2700,3650,2.0,0,2,3,9,2070,630,89,1940,4000,65,55,3.0,3.0,79953,1,13.764217263576725
2210,400000,2,2.5,1410,1281,2.0,0,0,3,8,1090,320,7,1410,2550,67,57,2.0,2.0,67277,7,12.89921982609012
2211,325000,2,2.5,1170,1638,2.0,0,0,3,8,1170,0,7,1350,1407,76,57,2.0,2.0,65188,7,12.691580461311874
2215,595000,4,2.5,2030,10722,1.0,0,0,3,7,1100,930,48,1610,9134,61,51,2.0,2.0,85759,48,13.296316684527767
2216,427500,3,1.0,1350,7085,1.0,0,0,5,7,1350,0,71,1350,7085,64,51,2.0,2.0,56208,71,12.965709567358953
2217,728000,3,1.5,1940,4000,1.5,0,0,3,8,1310,630,100,1940,4000,47,52,1.0,1.0,137358,100,13.498056327178825
2218,549950,2,1.0,1260,4000,1.0,0,0,3,7,1000,260,75,1780,4000,81,52,2.0,2.0,101397,75,13.217582643985267
2219,650000,3,2.0,2800,10501,1.0,0,0,3,7,1400,1400,61,2260,6534,50,61,2.0,2.0,31863,61,13.38472764187182
2221,311000,2,1.0,860,3300,1.0,0,0,5,6,860,0,112,1380,4400,88,53,3.0,3.0,57750,112,12.647548191161373
2222,740000,2,1.75,2080,4800,1.0,0,0,5,7,1080,1000,92,1310,4800,90,54,2.0,2.0,103750,92,13.514405465180351
2223,200000,4,2.0,2090,6630,1.0,0,0,3,7,1070,1020,41,1550,7980,12,43,3.0,3.0,71524,41,12.206072645530176
2224,660000,3,1.0,1240,3500,1.0,0,0,4,7,1240,0,88,1650,3360,84,51,2.0,2.0,90568,88,13.399995114002607
2226,708000,2,1.0,1120,5250,1.0,0,0,3,7,950,170,77,1510,5250,60,44,1.0,1.0,66563,77,13.470199372675856
2228,691000,2,2.0,1780,3810,1.5,0,0,3,7,980,800,93,1690,3810,71,65,1.0,1.0,87667,93,13.445895102749805
2231,425000,2,1.0,1670,6212,1.0,0,0,4,7,1670,0,68,1670,7272,35,50,2.0,2.0,87222,68,12.959844447906553
2232,210000,3,1.0,1080,21043,1.0,0,0,3,6,1080,0,73,1380,7620,34,42,2.0,2.0,74107,73,12.254862809699604
2233,285000,2,1.0,1210,4895,1.0,0,0,3,6,710,500,64,1100,6000,77,55,3.0,3.0,47701,64,12.560244459250786
2238,975000,4,2.5,3020,4950,1.5,0,0,4,9,2020,1000,94,2300,5450,61,82,2.0,2.0,131429,94,13.790192749979985
2239,1130000,4,3.0,3180,4649,2.0,0,0,4,9,2070,1110,90,2720,5980,37,47,1.0,1.0,132917,90,13.937728190688524
2241,650000,3,2.5,2540,8073,1.0,0,0,4,8,1880,660,78,2110,7702,39,47,2.0,2.0,62726,78,13.38472764187182
2245,870000,4,3.0,2940,7108,2.0,0,1,3,9,2220,720,4,2240,7950,62,47,1.0,1.0,90208,4,13.676248490630767
2247,850000,3,1.75,2450,8603,1.0,0,0,5,8,1340,1110,75,2280,5779,24,33,1.0,1.0,157292,75,13.652991628466498
2250,336000,3,1.5,1240,5000,1.0,0,2,3,7,1240,0,51,1050,5000,43,53,1.0,1.0,67277,51,12.72486643894534
2251,415000,2,1.0,670,6000,1.0,0,0,5,6,670,0,66,1240,5040,73,46,3.0,3.0,59275,66,12.936033799212835
2252,350000,3,1.5,1320,4400,1.0,0,0,3,6,1320,0,106,1350,4400,80,53,1.0,1.0,137358,106,12.765688433465595
2253,765000,3,1.75,2440,5800,1.0,0,3,4,8,1320,1120,70,2530,5800,34,32,1.0,1.0,157292,70,13.547631112808672
2254,524000,4,2.75,2310,5000,1.5,0,0,5,8,1480,830,107,1100,5000,72,45,2.0,2.0,84324,107,13.16924696330318
2255,448000,2,1.0,1110,5413,1.0,0,0,3,6,890,220,78,1300,5413,75,58,2.0,2.0,61391,78,13.012548511397126
2258,1265000,4,2.25,2870,6000,1.0,0,0,5,8,1730,1140,64,2370,5500,76,33,2.0,2.0,132000,64,14.050582680143757
2259,640000,3,2.0,1470,4640,1.5,0,0,4,7,1470,0,89,1700,5000,77,42,1.0,1.0,157292,89,13.369223455335856
2260,990000,3,3.25,2460,4182,2.0,0,0,5,8,2100,360,105,2370,4284,80,49,2.0,2.0,91458,105,13.805460222110774
2261,395000,4,1.75,1960,7945,1.0,0,0,4,7,980,980,69,1290,7945,58,49,2.0,2.0,44951,69,12.886641043883259
2264,752500,5,2.75,2720,4680,1.5,0,0,4,8,1710,1010,102,1670,4800,81,62,2.0,2.0,93155,102,13.531156275605168
2265,450000,2,1.0,1020,5000,1.5,0,0,4,6,1020,0,109,1490,5000,75,49,2.0,2.0,79681,109,13.017002861746507
2266,473000,2,1.0,900,5100,1.0,0,0,4,7,900,0,106,1400,5100,79,50,2.0,2.0,90789,106,13.06685066747407
2269,589000,4,1.75,1920,4862,1.0,0,0,5,7,1060,860,96,1840,4862,79,39,1.0,1.0,71705,96,13.286181462633724
2271,580000,3,2.5,1590,1937,2.5,0,0,3,8,1590,0,11,1620,2022,51,39,1.0,1.0,77808,11,13.270783382522602
2272,345000,3,2.0,1430,4200,1.0,0,0,4,7,830,600,107,1540,5000,63,51,2.0,2.0,62639,107,12.751299696013493
2273,781000,3,1.75,1940,8729,1.0,0,0,3,8,1460,480,55,2250,9165,34,42,1.0,1.0,132981,55,13.568330428821824
2274,402500,4,1.0,1270,3630,1.5,0,0,3,7,1270,0,112,1420,4848,82,71,2.0,2.0,57786,112,12.905450375840758
2275,426000,3,1.5,1380,7200,1.0,0,0,3,7,1080,300,67,1220,7200,51,45,3.0,3.0,47363,67,12.962194625251508
2278,700000,4,2.0,2230,4635,1.5,0,0,5,7,1510,720,107,1520,4635,79,50,1.0,1.0,90568,107,13.458835614025542
2279,830000,4,3.0,2020,6000,1.0,0,0,3,8,1220,800,47,1400,6000,64,39,1.0,1.0,90951,0,13.62918097977278
2280,350500,2,1.0,1450,6380,1.0,0,0,3,7,1450,0,48,1240,6380,78,59,2.0,2.0,61391,48,12.767115985456783
2283,780000,3,1.5,1620,7500,1.0,0,2,4,8,1620,0,66,2440,7800,49,44,1.0,1.0,96193,66,13.567049198665776
2284,720000,2,1.5,1840,9000,1.0,0,2,3,8,1340,500,58,1880,7560,34,46,2.0,2.0,102500,58,13.487006490992238
2285,480000,4,1.0,2080,5500,1.0,0,0,3,7,1040,1040,74,1280,4000,77,50,2.0,2.0,101397,74,13.081541382884073
2288,700000,2,1.0,1160,17635,1.0,1,4,3,6,1160,0,70,1510,13122,31,42,2.0,2.0,71524,70,13.458835614025542
2289,285000,4,2.0,1760,5500,1.0,0,1,3,7,780,980,90,1510,5500,64,48,4.0,4.0,38846,11,12.560244459250786
2294,389000,3,1.0,1380,6591,1.0,0,0,4,7,1380,0,68,1610,6594,54,52,4.0,4.0,62726,68,12.871334622600587
2295,450000,2,1.0,1180,6000,1.0,0,0,3,7,1180,0,105,1600,6000,60,58,2.0,2.0,87667,105,13.017002861746507
2297,660000,2,1.0,1070,5000,1.0,0,0,3,7,1070,0,91,1400,4000,93,52,3.0,3.0,65625,91,13.399995114002607
2298,850000,3,2.25,2870,8170,2.0,0,0,3,10,2250,620,20,1310,8170,70,49,1.0,1.0,102500,20,13.652991628466498
2300,395000,2,1.0,870,3121,1.0,0,0,4,7,870,0,92,1570,1777,90,57,2.0,2.0,72396,92,12.886641043883259
2301,440000,3,2.0,1550,2401,2.0,0,0,3,7,1550,0,19,1550,3446,89,65,2.0,2.0,71809,19,12.994530005894447
2303,635000,3,1.75,1210,4400,1.5,0,0,4,8,1210,0,85,2020,3750,79,56,1.0,1.0,110091,85,13.36138027787483
2305,1400000,3,3.25,3020,6073,2.0,0,0,4,9,3020,0,61,3020,7700,40,43,2.0,2.0,132000,61,14.151982794585487
2307,1135000,4,2.75,3370,8103,1.0,0,3,3,9,1970,1400,45,2120,6360,59,48,1.0,1.0,102500,1,13.94214320889764
2308,445000,4,1.0,1460,4600,1.0,0,2,3,6,780,680,69,1560,4600,82,53,2.0,2.0,71705,69,13.005829561148376
2309,555000,3,1.5,1740,4200,1.5,0,0,4,7,1640,100,95,1660,3750,76,49,2.0,2.0,97500,95,13.226723392728571
2312,375000,2,1.5,1160,1648,2.0,0,0,3,7,1160,0,13,1458,2351,69,61,2.0,2.0,81676,13,12.834681304952548
2313,401000,4,1.75,3010,12523,1.0,0,0,3,8,1780,1230,63,2040,7560,69,60,4.0,4.0,31863,63,12.901716706288704
2314,365000,2,1.0,980,5110,1.0,0,0,4,7,780,200,76,1430,5110,59,61,2.0,2.0,80400,76,12.807652632564631
2316,710000,2,1.0,1790,4000,1.0,0,0,4,7,1040,750,92,1310,4000,61,61,2.0,2.0,131429,92,13.473020249017498
2321,427500,3,1.75,1240,7200,1.0,0,0,5,7,1240,0,73,1640,7200,37,45,1.0,1.0,83421,73,12.965709567358953
2323,680000,3,1.75,1660,5750,1.0,0,0,4,7,1080,580,106,2060,5560,86,40,2.0,2.0,77808,106,13.429848077152288
2324,525000,4,2.75,2470,7200,1.0,0,0,5,7,1350,1120,75,1500,6000,32,58,2.0,2.0,47604,75,13.17115354157376
2325,505000,2,1.75,1310,3816,1.0,0,0,2,7,1110,200,86,1510,3816,72,48,2.0,2.0,85595,86,13.132313708257493
2327,650000,3,1.75,1660,10819,1.0,0,0,4,7,1240,420,73,3110,11853,37,39,2.0,2.0,96193,73,13.38472764187182
2330,638000,4,1.75,1470,4236,1.5,0,0,4,7,1470,0,69,1480,5400,69,48,2.0,2.0,79681,69,13.366093562326927
2331,875000,4,2.25,2380,4876,2.0,0,0,4,9,2240,140,67,1780,4559,46,40,1.0,1.0,101397,67,13.681979165339751
2334,511718,2,1.75,1700,5000,1.0,0,0,3,6,850,850,100,1690,5000,78,49,2.0,2.0,97500,100,13.145528971035937
2337,1062000,4,2.75,2720,4000,1.5,0,2,5,8,1840,880,87,1600,4000,85,49,1.0,1.0,97500,87,13.875664480784021
2338,374950,2,2.25,1240,1172,2.0,0,0,3,8,1000,240,7,1260,1111,66,83,1.0,1.0,47737,7,12.834547962729536
2344,658600,4,2.0,1400,4690,1.5,0,0,4,7,1400,0,70,1400,4690,81,50,2.0,2.0,90789,70,13.3978716489244
2346,464000,5,2.0,2000,3000,1.5,0,0,3,6,1200,800,84,1330,4000,85,63,3.0,3.0,76524,84,13.047639831208393
2352,575000,4,1.75,2020,6200,1.0,0,0,4,6,1010,1010,67,1440,4158,81,56,2.0,2.0,65188,67,13.26212531977949
2353,1100000,4,3.75,2930,3200,1.5,0,0,5,9,2130,800,90,1900,4320,84,64,1.0,1.0,96538,90,13.9108207377686
2354,380000,2,1.0,1040,7372,1.0,0,0,5,7,840,200,76,1930,5150,59,46,2.0,2.0,75123,76,12.847926531702571
2356,691500,4,2.5,2600,7200,2.0,0,0,3,7,2600,0,53,1790,6175,28,42,1.0,1.0,132981,13,13.446618430086948
2357,556000,3,1.75,1590,2500,1.5,0,0,4,7,1190,400,107,1420,3800,91,68,2.0,2.0,64797,107,13.228523573232719
2359,425000,4,2.0,1390,4500,1.5,0,0,5,7,1390,0,107,1900,5460,61,55,3.0,3.0,79432,107,12.959844447906553
2362,507250,3,1.75,1400,5750,1.0,0,2,3,6,1100,300,100,1500,5175,82,53,2.0,2.0,71705,100,13.136759257688059
2365,660000,2,2.25,2550,6000,2.0,0,0,5,7,1860,690,113,2010,4000,88,61,2.0,2.0,65172,113,13.399995114002607
2368,625000,3,1.0,1240,4080,1.0,0,0,3,7,1240,0,90,2060,4080,82,56,2.0,2.0,113906,90,13.345506928718539
2369,527000,2,1.75,1640,4080,1.0,0,0,3,7,840,800,94,1980,4080,84,73,3.0,3.0,38487,94,13.174955827523501
2371,855000,4,3.0,2550,5300,2.0,0,0,3,8,1720,830,107,1590,4505,75,48,2.0,2.0,85595,2,13.658856747918895
2372,315000,1,1.0,580,7200,1.0,0,0,3,6,580,0,15,1360,7560,77,55,4.0,4.0,75123,15,12.66032791780777
2373,700000,2,1.0,930,5000,1.0,0,3,3,7,930,0,89,1760,5228,57,47,2.0,2.0,102500,2,13.458835614025542
2380,545000,4,2.5,2040,6034,2.0,0,0,3,7,2040,0,25,1380,5986,64,63,1.0,1.0,61391,25,13.208541073645382
2381,550000,3,1.5,1900,5000,1.5,0,0,3,7,1640,260,89,2090,5000,73,51,1.0,1.0,96310,89,13.217673557208656
2382,921500,3,1.5,1900,5000,1.5,0,0,3,7,1640,260,89,2090,5000,73,51,1.0,1.0,96310,89,13.733758056092016
2384,820000,4,2.25,2280,6660,1.5,0,2,3,8,1960,320,75,1720,5336,66,62,1.0,1.0,87667,31,13.617059619240436
2386,334000,1,1.0,670,5750,1.0,0,0,3,7,670,0,73,1170,5750,86,51,2.0,2.0,106319,4,12.718896271958835
2387,491950,3,2.25,2090,10733,1.0,0,0,3,7,1440,650,57,1740,8100,50,44,1.0,1.0,132981,57,13.106132364293911
2389,426000,2,1.0,640,2500,1.0,0,0,4,6,640,0,97,1460,4200,76,49,2.0,2.0,97500,97,12.962194625251508
2390,553000,3,1.0,1330,5100,1.0,0,0,3,7,900,430,73,1500,5100,79,49,2.0,2.0,103917,73,13.223113280504473
2391,296000,2,1.0,750,4680,1.0,0,0,3,5,750,0,67,1450,4400,85,56,2.0,2.0,62786,67,12.598114733306195
2392,325000,4,2.5,1890,6156,1.0,0,0,3,7,980,910,35,1590,6954,40,42,2.0,2.0,74107,35,12.691580461311874
2396,921000,4,2.5,2310,5362,2.0,0,4,4,8,2010,300,87,2530,5960,59,51,2.0,2.0,79953,87,13.733215315237446
2397,359000,4,1.75,1580,6396,1.0,0,0,4,6,790,790,70,1180,6396,45,46,2.0,2.0,55504,70,12.791077667470415
2398,555000,4,1.75,2350,6200,1.5,0,0,4,7,1410,940,69,1800,6150,68,46,1.0,1.0,106319,69,13.226723392728571
2401,487028,2,1.5,1295,1093,2.0,0,0,3,9,1105,190,8,1295,1413,83,61,2.0,2.0,104632,8,13.09607689527849
2405,400000,2,1.0,910,4000,1.0,0,0,3,7,910,0,97,1060,1346,81,50,1.0,1.0,90208,97,12.89921982609012
2406,835000,3,2.0,1570,4625,1.5,0,0,5,8,1570,0,88,1760,4625,46,39,1.0,1.0,101397,88,13.635187003832991
2408,865000,3,1.75,2090,4725,2.0,0,0,3,7,1610,480,68,1280,4725,69,44,1.0,1.0,66563,2,13.670484785914017
2410,247300,2,2.0,1140,1118,2.0,0,0,3,7,1040,100,6,1140,1118,92,88,2.0,2.0,44571,6,12.418357453509508
2411,425000,3,1.0,1790,6000,1.5,0,0,2,8,1790,0,78,1060,4000,70,48,3.0,3.0,42159,78,12.959844447906553
2418,900000,3,1.0,1560,3825,1.5,0,0,3,8,1390,170,85,1700,5100,80,48,2.0,2.0,101397,85,13.710150042306447
2420,490000,3,1.0,960,5750,1.0,0,0,3,7,960,0,64,1520,5750,67,46,1.0,1.0,106319,64,13.102160670086805
2422,160000,2,2.0,1040,4750,1.0,0,0,2,6,850,190,65,1350,5000,83,61,4.0,4.0,38846,65,11.982929094215965
2426,613000,4,2.0,1550,4815,1.5,0,0,3,7,1550,0,106,1680,4013,85,52,2.0,2.0,113906,106,13.32612021491835
2427,700000,4,2.25,2440,9450,1.5,0,0,3,7,2440,0,68,1720,7503,55,54,2.0,2.0,64549,1,13.458835614025542
2428,750000,3,1.0,1640,6516,1.5,0,0,4,7,1440,200,80,1770,4000,76,51,2.0,2.0,113906,80,13.527828485512496
2433,430000,1,1.0,630,1362,1.0,0,0,3,7,630,0,72,1090,1376,74,72,2.0,2.0,88719,72,12.971540487669744
2435,637000,4,2.75,2850,7510,2.0,0,0,3,8,2850,0,7,1510,8833,62,57,2.0,2.0,64549,7,13.3645249345543
2436,579000,2,2.0,1760,7200,1.0,0,0,5,7,880,880,69,1760,7200,60,44,4.0,4.0,59275,69,13.269057756555133
2438,405000,2,1.0,880,3000,1.0,0,0,5,7,880,0,88,1300,3000,85,52,2.0,2.0,90568,88,12.911642346088676
2439,553650,2,2.5,1360,1349,2.0,0,0,3,8,1050,310,18,1430,4400,79,53,2.0,2.0,132000,18,13.224287997126256
2440,369900,2,2.5,1770,1853,3.0,0,0,3,8,1770,0,8,1770,1924,62,50,1.0,1.0,48036,8,12.820987977820545
2445,726000,3,2.5,1890,3880,1.5,0,0,4,8,1460,430,100,1010,3880,76,60,2.0,2.0,93155,100,13.495305293806933
