,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,walk_score,transit_score,pers_crime_score,prop_crime_score,income,log_price
3139,473000,2,1.0,900,5100,1.0,0,0,4,7,900,0,1909,0,98117,1400,5100,79,50,A,B,90789,13.06685066747407
3143,589000,4,1.75,1920,4862,1.0,0,0,5,7,1060,860,1919,0,98116,1840,4862,79,39,A,A,71705,13.286181462633724
3145,580000,3,2.5,1590,1937,2.5,0,0,3,8,1590,0,2004,0,98116,1620,2022,51,39,B,A,77808,13.270783382522602
3147,345000,3,2.0,1430,4200,1.0,0,0,4,7,830,600,1908,0,98199,1540,5000,63,51,A,B,62639,12.751299696013497
3148,781000,3,1.75,1940,8729,1.0,0,0,3,8,1460,480,1960,0,98125,2250,9165,34,42,A,A,132981,13.568330428821824
3149,402500,4,1.0,1270,3630,1.5,0,0,3,7,1270,0,1903,0,98122,1420,4848,82,71,C,B,57786,12.905450375840756
3150,426000,3,1.5,1380,7200,1.0,0,0,3,7,1080,300,1948,0,98106,1220,7200,51,45,B,C,47363,12.962194625251508
3155,700000,4,2.0,2230,4635,1.5,0,0,5,7,1510,720,1908,0,98103,1520,4635,79,50,B,A,90568,13.458835614025542
3156,830000,4,3.0,2020,6000,1.0,0,0,3,8,1220,800,1968,2015,98199,1400,6000,64,39,A,A,90951,13.62918097977278
3158,350500,2,1.0,1450,6380,1.0,0,0,3,7,1450,0,1967,0,98115,1240,6380,78,59,A,B,61391,12.767115985456782
3161,780000,3,1.5,1620,7500,1.0,0,2,4,8,1620,0,1949,0,98117,2440,7800,49,44,A,A,96193,13.567049198665774
3162,720000,2,1.5,1840,9000,1.0,0,2,3,8,1340,500,1957,0,98136,1880,7560,34,46,A,B,102500,13.487006490992238
3164,480000,4,1.0,2080,5500,1.0,0,0,3,7,1040,1040,1941,0,98117,1280,4000,77,50,A,B,101397,13.081541382884074
3167,700000,2,1.0,1160,17635,1.0,1,4,3,6,1160,0,1945,0,98178,1510,13122,31,42,B,B,71524,13.458835614025542
3168,285000,4,2.0,1760,5500,1.0,0,1,3,7,780,980,1925,2004,98118,1510,5500,64,48,D,D,38846,12.560244459250788
3176,389000,3,1.0,1380,6591,1.0,0,0,4,7,1380,0,1947,0,98133,1610,6594,54,52,C,D,62726,12.871334622600584
3177,450000,2,1.0,1180,6000,1.0,0,0,3,7,1180,0,1910,0,98119,1600,6000,60,58,B,B,87667,13.017002861746503
3179,660000,2,1.0,1070,5000,1.0,0,0,3,7,1070,0,1924,0,98103,1400,4000,93,52,B,C,65625,13.399995114002609
3180,850000,3,2.25,2870,8170,2.0,0,0,3,10,2250,620,1995,0,98136,1310,8170,70,49,A,A,102500,13.652991628466498
3182,395000,2,1.0,870,3121,1.0,0,0,4,7,870,0,1923,0,98107,1570,1777,90,57,B,B,72396,12.886641043883259
3183,440000,3,2.0,1550,2401,2.0,0,0,3,7,1550,0,1996,0,98103,1550,3446,89,65,B,B,71809,12.994530005894443
3185,635000,3,1.75,1210,4400,1.5,0,0,4,8,1210,0,1930,0,98105,2020,3750,79,56,A,A,110091,13.36138027787483
3187,1400000,3,3.25,3020,6073,2.0,0,0,4,9,3020,0,1954,0,98112,3020,7700,40,43,B,B,132000,14.151982794585487
3189,1135000,4,2.75,3370,8103,1.0,0,3,3,9,1970,1400,1970,2014,98136,2120,6360,59,48,B,A,102500,13.94214320889764
3190,445000,4,1.0,1460,4600,1.0,0,2,3,6,780,680,1946,0,98126,1560,4600,82,53,B,B,71705,13.005829561148378
3191,555000,3,1.5,1740,4200,1.5,0,0,4,7,1640,100,1920,0,98117,1660,3750,76,49,A,B,97500,13.226723392728571
3196,375000,2,1.5,1160,1648,2.0,0,0,3,7,1160,0,2002,0,98144,1458,2351,69,61,B,B,81676,12.834681304952548
3197,401000,4,1.75,3010,12523,1.0,0,0,3,8,1780,1230,1952,0,98125,2040,7560,69,60,C,D,31863,12.901716706288706
3199,365000,2,1.0,980,5110,1.0,0,0,4,7,780,200,1939,0,98115,1430,5110,59,61,A,B,80400,12.80765263256463
3201,710000,2,1.0,1790,4000,1.0,0,0,4,7,1040,750,1923,0,98112,1310,4000,61,61,A,B,131429,13.473020249017498
3208,427500,3,1.75,1240,7200,1.0,0,0,5,7,1240,0,1942,0,98136,1640,7200,37,45,A,A,83421,12.965709567358951
3210,680000,3,1.75,1660,5750,1.0,0,0,4,7,1080,580,1909,0,98116,2060,5560,86,40,C,B,77808,13.42984807715229
3212,525000,4,2.75,2470,7200,1.0,0,0,5,7,1350,1120,1940,0,98108,1500,6000,32,58,B,B,47604,13.17115354157376
3213,505000,2,1.75,1310,3816,1.0,0,0,2,7,1110,200,1929,0,98117,1510,3816,72,48,A,B,85595,13.132313708257497
3215,650000,3,1.75,1660,10819,1.0,0,0,4,7,1240,420,1942,0,98177,3110,11853,37,39,A,B,96193,13.38472764187182
3221,638000,4,1.75,1470,4236,1.5,0,0,4,7,1470,0,1946,0,98107,1480,5400,69,48,A,B,79681,13.366093562326927
3225,875000,4,2.25,2380,4876,2.0,0,0,4,9,2240,140,1948,0,98117,1780,4559,46,40,A,A,101397,13.681979165339751
3230,511718,2,1.75,1700,5000,1.0,0,0,3,6,850,850,1915,0,98117,1690,5000,78,49,A,B,97500,13.145528971035935
3233,1062000,4,2.75,2720,4000,1.5,0,2,5,8,1840,880,1928,0,98117,1600,4000,85,49,A,A,97500,13.875664480784021
3236,374950,2,2.25,1240,1172,2.0,0,0,3,8,1000,240,2008,0,98144,1260,1111,66,83,B,A,47737,12.834547962729536
3245,658600,4,2.0,1400,4690,1.5,0,0,4,7,1400,0,1945,0,98117,1400,4690,81,50,A,B,90789,13.3978716489244
3247,464000,5,2.0,2000,3000,1.5,0,0,3,6,1200,800,1931,0,98122,1330,4000,85,63,D,C,76524,13.047639831208393
3254,575000,4,1.75,2020,6200,1.0,0,0,4,6,1010,1010,1948,0,98133,1440,4158,81,56,B,B,65188,13.262125319779487
3257,1100000,4,3.75,2930,3200,1.5,0,0,5,9,2130,800,1925,0,98119,1900,4320,84,64,A,A,96538,13.9108207377686
3260,380000,2,1.0,1040,7372,1.0,0,0,5,7,840,200,1939,0,98126,1930,5150,59,46,A,B,75123,12.84792653170257
3263,691500,4,2.5,2600,7200,2.0,0,0,3,7,2600,0,1962,2002,98115,1790,6175,28,42,A,A,132981,13.44661843008695
3264,556000,3,1.75,1590,2500,1.5,0,0,4,7,1190,400,1908,0,98105,1420,3800,91,68,B,B,64797,13.228523573232719
3266,425000,4,2.0,1390,4500,1.5,0,0,5,7,1390,0,1908,0,98108,1900,5460,61,55,B,C,79432,12.959844447906553
3270,507250,3,1.75,1400,5750,1.0,0,2,3,6,1100,300,1915,0,98126,1500,5175,82,53,B,B,71705,13.13675925768806
3274,660000,2,2.25,2550,6000,2.0,0,0,5,7,1860,690,1902,0,98115,2010,4000,88,61,B,B,65172,13.399995114002609
3279,625000,3,1.0,1240,4080,1.0,0,0,3,7,1240,0,1925,0,98103,2060,4080,82,56,B,B,113906,13.345506928718539
3280,527000,2,1.75,1640,4080,1.0,0,0,3,7,840,800,1921,0,98105,1980,4080,84,73,B,C,38487,13.1749558275235
3283,855000,4,3.0,2550,5300,2.0,0,0,3,8,1720,830,1908,2013,98117,1590,4505,75,48,A,B,85595,13.658856747918897
3285,315000,1,1.0,580,7200,1.0,0,0,3,6,580,0,2000,0,98126,1360,7560,77,55,C,D,75123,12.66032791780777
3287,700000,2,1.0,930,5000,1.0,0,3,3,7,930,0,1926,2013,98136,1760,5228,57,47,B,B,102500,13.458835614025542
3297,545000,4,2.5,2040,6034,2.0,0,0,3,7,2040,0,1990,0,98115,1380,5986,64,63,A,A,61391,13.208541073645382
3298,550000,3,1.5,1900,5000,1.5,0,0,3,7,1640,260,1926,0,98115,2090,5000,73,51,A,A,96310,13.217673557208654
3299,921500,3,1.5,1900,5000,1.5,0,0,3,7,1640,260,1926,0,98115,2090,5000,73,51,A,A,96310,13.733758056092014
3301,820000,4,2.25,2280,6660,1.5,0,2,3,8,1960,320,1940,1984,98119,1720,5336,66,62,B,A,87667,13.617059619240436
3303,334000,1,1.0,670,5750,1.0,0,0,3,7,670,0,1942,2011,98116,1170,5750,86,51,B,B,106319,12.718896271958837
3305,491950,3,2.25,2090,10733,1.0,0,0,3,7,1440,650,1958,0,98115,1740,8100,50,44,A,A,132981,13.106132364293911
3309,426000,2,1.0,640,2500,1.0,0,0,4,6,640,0,1918,0,98117,1460,4200,76,49,A,B,97500,12.962194625251508
3311,553000,3,1.0,1330,5100,1.0,0,0,3,7,900,430,1942,0,98115,1500,5100,79,49,B,B,103917,13.223113280504473
3312,296000,2,1.0,750,4680,1.0,0,0,3,5,750,0,1948,0,98117,1450,4400,85,56,B,B,62786,12.598114733306197
3314,325000,4,2.5,1890,6156,1.0,0,0,3,7,980,910,1980,0,98106,1590,6954,40,42,B,B,74107,12.691580461311874
3319,921000,4,2.5,2310,5362,2.0,0,4,4,8,2010,300,1928,0,98122,2530,5960,59,51,A,B,79953,13.733215315237445
3322,359000,4,1.75,1580,6396,1.0,0,0,4,6,790,790,1945,0,98126,1180,6396,45,46,C,B,55504,12.791077667470416
3324,555000,4,1.75,2350,6200,1.5,0,0,4,7,1410,940,1946,0,98116,1800,6150,68,46,A,A,106319,13.226723392728571
3328,487028,2,1.5,1295,1093,2.0,0,0,3,9,1105,190,2007,0,98112,1295,1413,83,61,B,B,104632,13.09607689527849
3335,400000,2,1.0,910,4000,1.0,0,0,3,7,910,0,1918,0,98136,1060,1346,81,50,B,A,90208,12.89921982609012
3336,835000,3,2.0,1570,4625,1.5,0,0,5,8,1570,0,1927,0,98117,1760,4625,46,39,A,A,101397,13.635187003832993
3341,865000,3,1.75,2090,4725,2.0,0,0,3,7,1610,480,1947,2013,98199,1280,4725,69,44,A,A,66563,13.670484785914017
3343,247300,2,2.0,1140,1118,2.0,0,0,3,7,1040,100,2009,0,98144,1140,1118,92,88,B,B,44571,12.418357453509508
3345,425000,3,1.0,1790,6000,1.5,0,0,2,8,1790,0,1937,0,98108,1060,4000,70,48,C,C,42159,12.959844447906553
3354,900000,3,1.0,1560,3825,1.5,0,0,3,8,1390,170,1930,0,98117,1700,5100,80,48,A,B,101397,13.710150042306449
3357,490000,3,1.0,960,5750,1.0,0,0,3,7,960,0,1951,0,98116,1520,5750,67,46,A,A,106319,13.102160670086809
3361,160000,2,2.0,1040,4750,1.0,0,0,2,6,850,190,1950,0,98118,1350,5000,83,61,D,D,38846,11.982929094215963
3368,613000,4,2.0,1550,4815,1.5,0,0,3,7,1550,0,1909,0,98103,1680,4013,85,52,B,B,113906,13.32612021491835
3370,700000,4,2.25,2440,9450,1.5,0,0,3,7,2440,0,1947,2014,98125,1720,7503,55,54,B,B,64549,13.458835614025542
3371,750000,3,1.0,1640,6516,1.5,0,0,4,7,1440,200,1935,0,98103,1770,4000,76,51,B,B,113906,13.527828485512494
3383,430000,1,1.0,630,1362,1.0,0,0,3,7,630,0,1943,0,98109,1090,1376,74,72,A,B,88719,12.971540487669746
3388,637000,4,2.75,2850,7510,2.0,0,0,3,8,2850,0,2008,0,98125,1510,8833,62,57,B,B,64549,13.3645249345543
3390,579000,2,2.0,1760,7200,1.0,0,0,5,7,880,880,1946,0,98118,1760,7200,60,44,B,D,59275,13.269057756555132
3393,405000,2,1.0,880,3000,1.0,0,0,5,7,880,0,1927,0,98103,1300,3000,85,52,B,B,90568,12.911642346088676
3394,553650,2,2.5,1360,1349,2.0,0,0,3,8,1050,310,1997,0,98112,1430,4400,79,53,B,B,132000,13.224287997126254
3395,369900,2,2.5,1770,1853,3.0,0,0,3,8,1770,0,2007,0,98126,1770,1924,62,50,B,A,48036,12.820987977820545
3404,726000,3,2.5,1890,3880,1.5,0,0,4,8,1460,430,1915,0,98107,1010,3880,76,60,B,B,93155,13.495305293806933
3405,515000,3,1.75,1810,5733,1.0,0,0,4,7,1010,800,1926,0,98116,1260,4680,77,47,A,A,71705,13.151922179645874
3411,459500,2,1.0,1250,3825,1.0,0,0,3,7,850,400,1929,0,98117,1370,4998,79,50,A,B,90789,13.03789422077788
3418,245000,2,1.0,820,7475,1.0,0,0,3,6,820,0,1945,0,98133,1030,5720,66,52,B,C,64297,12.409013489526863
3424,672324,2,1.75,1600,5795,1.5,0,0,3,8,1600,0,1940,0,98105,2310,6301,66,54,A,A,110091,13.418495646168909
3425,420000,3,2.0,1200,5029,1.0,0,0,3,6,880,320,1937,0,98115,1510,5854,68,49,A,B,85759,12.948009990259552
3426,515000,3,2.0,1690,5100,1.5,0,0,5,7,1690,0,1907,0,98117,1690,5100,81,49,A,B,90789,13.151922179645874
3429,475000,3,1.5,1640,2720,1.5,0,0,3,8,1640,0,1929,0,98115,1490,4375,83,52,A,B,91458,13.071070083016778
3431,357250,3,1.5,1400,8840,1.0,0,0,4,6,1400,0,1952,0,98125,1260,8840,55,53,B,B,56208,12.786191095792114
3433,550000,3,1.0,1070,3713,1.0,0,0,4,6,1070,0,1917,0,98118,1290,3960,81,57,C,D,59275,13.217673557208654
3440,355000,2,1.5,1140,2500,1.0,0,1,3,7,630,510,1988,0,98106,1500,5000,33,53,B,A,67277,12.779873068457553
3442,412000,3,2.5,1553,1991,3.0,0,0,3,8,1553,0,2014,0,98133,1509,2431,80,61,D,C,56744,12.928778628331663
3445,955500,4,1.75,2130,5080,1.5,0,0,3,8,2130,0,1914,1993,98119,1900,5080,81,64,A,B,87667,13.769990042662466
3449,546000,2,1.0,1657,5031,2.0,0,0,3,7,1657,0,1910,0,98116,2050,6201,81,49,A,A,71705,13.210374254727043
3451,735000,4,2.25,2270,5102,1.0,0,0,5,8,1340,930,1954,0,98199,1800,5102,41,34,A,A,157292,13.507625778194974
3452,1234570,2,2.5,2470,609,3.0,0,0,3,11,1910,560,2011,0,98112,2440,1229,95,76,D,C,57786,14.026233289278482
3453,445000,2,2.0,1240,2500,2.0,0,0,3,7,1240,0,1985,0,98117,1660,5000,55,41,A,A,79681,13.005829561148378
3460,640000,3,1.0,1210,3720,2.0,0,0,4,8,1210,0,1930,0,98112,1560,6000,59,56,A,B,154868,13.369223455335854
3464,805000,5,3.0,2350,6480,2.0,0,3,4,7,1650,700,1924,1962,98118,1840,7200,63,38,B,C,84324,13.5985975564007
3467,288000,0,1.5,1430,1650,3.0,0,0,3,7,1430,0,1999,0,98125,1430,1650,83,57,C,C,44951,12.570715759118084
3468,535000,2,1.0,1520,3360,1.0,0,0,4,7,830,690,1927,0,98117,1470,3774,72,50,A,B,90789,13.190022025878143
3469,330000,3,2.25,1620,7150,1.0,0,2,4,7,1280,340,1950,0,98178,1620,6930,24,42,A,A,73750,12.706847933442663
3470,479200,3,2.0,1510,3750,1.5,0,0,4,7,1510,0,1928,0,98116,1500,5000,76,48,A,A,71705,13.079873325783376
3474,380000,3,1.5,1520,4288,1.0,0,0,3,7,1020,500,1949,0,98136,1660,4288,38,46,A,B,102500,12.84792653170257
3475,417000,2,1.75,1090,4590,1.0,0,0,4,7,790,300,1915,0,98105,1390,4080,74,67,B,B,88914,12.94084150078094
3480,1225000,4,2.5,2600,11542,1.5,0,0,4,9,2200,400,1939,0,98177,2840,10960,18,28,A,A,96193,14.018451401960965
3485,119900,2,1.0,700,3180,1.0,0,0,3,6,480,220,1951,0,98178,1760,6360,16,38,B,B,71524,11.694413341015606
3489,210000,1,1.0,1050,7583,1.0,0,0,4,6,1050,0,1947,0,98133,1420,7560,76,52,B,D,64297,12.254862809699606
3491,325088,4,1.0,1400,6739,1.0,0,0,3,7,1000,400,1954,0,98108,1500,6380,60,54,B,C,47604,12.69185119389127
3495,255000,2,1.0,1220,2500,1.0,0,0,3,6,770,450,1910,0,98126,1540,3000,55,55,A,A,67277,12.449018824140563
3496,697000,4,3.0,2820,2850,1.5,0,0,5,7,1860,960,1928,0,98117,1570,4500,78,52,B,B,90789,13.454540689742661
3497,457500,2,1.0,840,5000,1.0,0,0,4,7,840,0,1908,0,98117,1240,5000,78,49,A,B,90789,13.033532163697712
3499,967000,4,3.25,1860,4356,2.0,0,0,3,9,1860,0,1917,2005,98103,1860,4356,83,47,A,A,81563,13.781953774435431
3503,500000,3,1.0,1800,7200,1.0,0,0,3,7,1020,780,1964,0,98118,1740,5475,64,48,B,C,59275,13.122363377404328
3506,635000,4,2.25,2750,6180,1.0,0,0,4,8,1500,1250,1948,0,98118,1740,6180,79,56,C,D,59275,13.36138027787483
3509,535000,4,1.5,1580,5000,1.5,0,0,3,7,1390,190,1945,0,98107,1580,5000,79,50,A,B,79681,13.190022025878143
3511,418500,2,1.0,790,5800,1.0,0,0,3,6,790,0,1943,0,98117,1460,5800,83,57,B,C,62786,12.944432168911668
3521,802000,3,2.25,2170,5001,2.0,0,0,3,8,2170,0,2014,0,98103,1700,6991,60,61,B,B,87159,13.594863886848652
3522,525000,3,1.0,1550,6840,1.5,0,0,3,7,1550,0,1918,0,98103,2370,4560,90,61,B,B,99083,13.17115354157376
3523,700000,6,3.0,2790,4550,2.5,0,0,4,8,2790,0,1907,0,98119,2590,4550,91,66,B,B,67572,13.458835614025542
3525,277500,2,1.5,1190,1236,3.0,0,0,3,7,1190,0,2005,0,98133,1390,1756,53,49,B,B,32472,12.533576212168626
3530,445000,4,2.0,1650,6000,1.0,0,0,5,7,1000,650,1959,0,98144,1540,6000,83,75,C,D,47737,13.005829561148378
3531,495800,4,1.5,1710,4600,1.5,0,0,3,7,1710,0,1924,0,98115,1740,4455,85,56,B,B,91458,13.113927898583228
3537,310000,2,2.0,1030,2271,3.0,0,0,3,7,1030,0,1999,0,98125,1439,1387,60,52,B,B,56208,12.644327576461329
3547,1015000,4,2.5,2700,4590,2.0,0,0,3,8,2700,0,2002,0,98103,2080,3570,78,57,A,B,65172,13.830399170458024
3556,325000,4,1.0,1640,3844,1.5,0,0,4,7,1460,180,1928,0,98133,1230,3844,82,56,B,B,65188,12.691580461311874
3557,402500,4,2.0,1650,3504,1.0,0,0,3,7,760,890,1951,2013,98144,1480,3504,81,72,C,D,81676,12.905450375840756
3559,540000,3,1.0,1270,3840,1.5,0,0,3,7,1270,0,1926,0,98103,1270,4175,96,53,B,C,103750,13.199324418540456
3560,385000,3,1.0,1070,4000,1.0,0,0,4,7,1070,0,1971,0,98108,1090,4000,57,57,B,D,79432,12.86099861326992
3561,480000,2,1.0,1060,3040,1.0,0,0,3,7,860,200,1924,0,98103,1470,3814,75,56,A,B,65172,13.081541382884074
3564,417000,3,2.5,1300,877,2.0,0,0,3,7,1060,240,2008,0,98199,1320,1414,70,49,A,A,66563,12.94084150078094
3569,494400,2,1.75,1560,1750,1.0,0,0,4,6,780,780,1904,0,98109,1850,3600,85,61,B,B,98750,13.111100185125618
3580,521000,2,1.0,1050,7500,1.5,0,3,4,6,1050,0,1910,0,98116,2540,13680,53,43,A,A,82333,13.163505320735505
3584,330000,3,2.25,2220,4060,1.0,0,0,3,7,1330,890,1993,0,98118,1930,5625,64,48,D,D,38846,12.706847933442663
3587,310000,2,1.0,1560,4920,1.0,0,0,4,6,780,780,1947,0,98125,1760,7510,30,46,A,B,64297,12.644327576461329
3588,862000,4,2.25,2220,4200,1.5,0,0,5,8,1310,910,1932,0,98199,2020,4940,76,41,A,A,90951,13.66701054964583
3601,889000,4,3.5,3210,5000,3.0,0,0,3,9,3210,0,2014,0,98136,1360,5000,42,46,B,A,102500,13.697852514496041
3602,375000,1,1.0,1090,5250,1.0,0,0,3,6,980,110,1927,0,98117,2160,5250,17,35,A,A,95927,12.834681304952548
3603,933000,3,1.5,1870,3300,2.0,0,2,3,7,1870,0,1906,0,98102,1820,2460,96,86,C,C,74559,13.74616047982948
3605,328000,2,1.0,700,4350,1.0,0,0,3,6,700,0,1943,0,98116,1620,5100,85,51,B,A,66794,12.70076888736628
3613,563000,6,1.0,1730,2760,1.5,0,0,3,7,1250,480,1918,0,98109,1630,3200,92,64,B,B,98750,13.241034907121827
3616,280000,2,1.5,800,1196,2.0,0,0,3,8,800,0,2003,0,98103,1020,1087,79,61,B,C,87159,12.542544882151386
3618,458950,2,1.0,1530,4370,1.0,0,0,3,7,1130,400,1946,0,98115,1580,4275,76,51,A,B,91458,13.036696550647237
3620,525000,5,3.0,2450,4591,2.0,0,0,3,7,2450,0,1994,0,98117,1060,5500,78,49,A,A,101397,13.17115354157376
3626,436500,2,1.0,1260,5000,1.0,0,0,3,7,1040,220,1951,0,98117,1510,5000,56,38,A,A,79681,12.986543654261794
3628,512500,4,1.75,1540,8311,1.0,0,0,4,7,1540,0,1950,0,98125,1890,7996,52,47,B,B,69643,13.1470559899947
3629,510000,4,1.0,1060,7200,1.0,0,1,3,6,880,180,1925,0,98118,1910,7200,55,38,A,D,84324,13.142166004700508
3632,435000,3,1.0,1050,5500,1.0,0,0,3,6,930,120,1920,0,98126,1410,5834,70,49,B,A,90208,12.983101310070822
3640,219000,2,1.0,900,5160,1.0,0,0,3,6,900,0,1952,0,98106,900,5160,75,55,C,C,54622,12.296827008798639
3641,777000,4,4.0,2680,6000,1.0,0,0,3,7,1380,1300,1962,2014,98199,1930,6000,73,48,A,A,66563,13.563195629349785
3644,600000,4,1.5,1770,6014,1.5,0,0,4,7,1240,530,1946,0,98116,1740,6014,71,40,B,A,106319,13.304684934198283
3645,554663,3,2.0,1230,6802,1.5,0,0,3,7,1230,0,1940,0,98105,1850,6398,67,55,A,A,110091,13.226116001096408
3660,337500,5,2.0,1700,7314,1.0,0,0,3,7,1000,700,1956,0,98108,2000,7176,63,53,B,C,79432,12.729320789294722
3663,400000,2,1.0,610,4560,1.0,0,0,3,5,610,0,1918,0,98136,930,1392,78,51,B,A,90208,12.89921982609012
3667,397000,3,3.5,1360,1275,2.0,0,0,3,8,1240,120,2007,0,98144,1360,1275,48,91,B,A,47737,12.891691559669328
3676,475000,3,2.25,2280,5750,1.0,0,1,4,7,1150,1130,1985,0,98116,1500,5060,84,51,B,B,106319,13.071070083016778
3678,660000,5,2.25,2540,3750,1.5,0,0,4,7,1510,1030,1925,0,98115,1780,3750,74,57,B,A,64797,13.399995114002609
3687,1440000,4,1.75,2410,6000,1.5,0,0,3,8,2410,0,1911,0,98109,1280,4000,84,62,B,B,98750,14.180153671552183
3689,380000,3,1.0,920,3532,1.0,0,0,3,6,920,0,1910,0,98118,1250,4000,63,41,B,C,84324,12.84792653170257
3697,750000,3,1.5,1840,5000,1.5,0,0,5,7,1340,500,1915,0,98107,1840,5000,80,57,B,B,93155,13.527828485512494
3699,632500,4,2.0,1770,5000,2.0,0,0,4,7,1770,0,1906,0,98107,1550,5000,92,52,B,B,85595,13.357435499583813
3703,367500,3,3.25,1400,1343,2.0,0,0,3,7,1160,240,2005,0,98118,1400,1326,82,55,B,C,84324,12.814478597635029
3704,385100,3,1.0,1060,8040,1.0,0,0,4,6,1060,0,1949,0,98125,1300,7620,46,52,B,C,87222,12.861258319803
3705,230000,2,1.0,720,5913,1.0,0,0,3,6,720,0,1920,0,98118,1560,6600,60,56,B,B,61901,12.345834587905333
3706,286000,3,2.75,1100,750,2.0,0,0,3,7,780,320,2008,0,98106,1170,4800,40,51,B,B,67277,12.56374708980199
3712,455000,3,2.25,1870,7403,1.0,0,0,3,7,1870,0,1950,0,98125,1630,7440,75,54,B,C,60131,13.028052697933088
3724,579000,3,2.5,1640,1269,3.0,0,0,3,8,1640,0,2009,0,98112,1590,1231,87,59,B,B,104632,13.269057756555132
3729,866500,4,3.5,3080,4945,2.0,0,0,3,9,2010,1070,2014,0,98126,1220,4945,82,53,B,B,71705,13.672217388137797
3736,277284,3,1.75,1030,4800,1.0,0,0,3,6,930,100,1927,0,98126,1540,4800,99,0,C,B,67277,12.532797530696506
3737,460000,2,1.0,1020,4002,1.0,0,0,5,7,1020,0,1953,0,98116,1780,5000,39,40,B,A,77808,13.038981768465277
3744,650000,4,2.5,2530,6500,1.5,0,0,3,8,1720,810,1975,0,98115,2150,5280,57,53,A,A,110091,13.38472764187182
3749,500000,3,3.25,1490,902,3.0,0,0,3,8,1220,270,2001,0,98102,1550,1092,75,60,B,B,98750,13.122363377404328
3753,549000,2,1.0,1140,5400,1.0,0,0,5,7,1140,0,1908,0,98112,1520,4800,71,55,A,A,104632,13.215853720491667
3756,405000,3,2.5,2260,5500,1.5,0,0,3,7,1280,980,1910,0,98117,1790,5355,75,47,A,A,101397,12.911642346088676
3757,625000,3,2.5,2260,5500,1.5,0,0,3,7,1280,980,1910,0,98117,1790,5355,75,47,A,A,101397,13.345506928718539
3759,345100,3,3.75,1950,8625,1.0,0,0,3,8,1360,590,1959,0,98178,1950,6670,26,47,B,B,71524,12.751589509086095
3764,367777,5,3.0,2140,5937,1.0,0,0,3,7,1280,860,1978,0,98118,1820,6710,52,53,B,B,84324,12.815232055211165
3765,750000,3,2.75,2520,5401,1.0,0,0,4,7,1360,1160,1946,0,98119,1800,5036,61,58,B,B,87667,13.527828485512494
3768,255000,2,1.0,740,5000,1.0,0,0,4,6,740,0,1926,0,98118,1170,4968,82,62,D,D,38846,12.449018824140563
3770,415000,3,2.25,1640,5880,1.0,0,0,3,7,1240,400,1977,0,98106,1200,4760,51,44,C,C,47363,12.936033799212835
3774,430000,3,2.5,1440,7320,1.0,0,0,5,7,1440,0,1954,0,98125,1160,6941,80,52,C,C,60131,12.971540487669746
3778,810000,3,2.0,2390,8025,2.0,0,0,5,7,2390,0,1921,0,98105,1920,5350,77,58,A,A,110091,13.604789526648622
3782,411000,4,2.75,2500,5257,2.0,0,0,3,8,2500,0,1966,0,98118,1660,5970,55,59,B,B,60917,12.926348493478372
3784,440000,3,1.5,1290,1286,3.0,0,0,3,7,1290,0,2000,0,98103,1720,1286,88,62,B,B,71809,12.994530005894443
3791,775000,4,2.75,2740,6200,1.5,0,3,4,8,1820,920,1947,0,98125,2430,6000,14,40,A,B,125109,13.560618308335483
3800,582500,2,1.5,1159,4800,1.0,0,0,3,7,1159,0,1948,0,98199,1640,4800,66,45,A,B,90951,13.275084464421992
3803,795000,3,3.25,2260,3727,2.0,0,0,3,8,1880,380,2003,0,98119,1600,4800,83,63,A,B,96538,13.58609739363647
3809,430000,5,3.0,2500,5750,1.0,0,0,3,8,1430,1070,1999,0,98126,1980,7130,54,49,B,A,55504,12.971540487669746
3810,799000,3,1.5,2210,6300,1.5,0,0,5,8,2210,0,1916,0,98144,2700,6300,50,59,B,C,81676,13.591116224748411
3817,460000,2,1.5,1090,4000,1.0,0,0,3,8,970,120,1951,0,98116,1700,4000,78,41,B,A,106319,13.038981768465277
3819,475000,2,1.0,890,4590,1.0,0,0,3,7,890,0,1923,0,98117,1310,4590,86,54,B,C,103750,13.071070083016778
3820,445000,3,1.75,1360,4998,1.0,0,0,3,8,1360,0,1968,2014,98108,1350,4998,50,51,B,C,79432,13.005829561148378
3824,736000,3,2.5,1980,2975,3.0,0,2,3,8,1980,0,1993,0,98109,1980,3144,83,79,B,A,88719,13.508985397711013
3831,399950,4,2.75,1920,4400,1.0,0,0,4,6,960,960,1906,0,98106,1040,4400,47,44,C,B,55504,12.899094818276968
3835,889000,4,2.5,2570,4480,1.5,0,0,4,8,1580,990,1927,0,98105,2070,4480,78,57,A,A,110091,13.697852514496041
3836,300000,3,1.0,930,5160,1.5,0,0,5,6,930,0,1919,0,98106,1060,5160,68,55,C,D,54622,12.611537753638338
3837,395000,1,1.0,730,3000,1.0,0,0,3,7,730,0,1911,0,98107,1520,5000,64,45,A,B,79681,12.886641043883259
3838,348000,2,2.5,1270,1242,3.0,0,0,3,7,1270,0,2008,0,98117,1280,1199,84,54,B,B,62786,12.759957758756611
